mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,chroma_mean,chroma_var,spectral_rolloff_mean,spectral_centroid_mean,spectral_centroid_std,rms_energy_mean,rms_energy_std,zero_crossing_mean,zero_crossing_std,tonnetz_mean,user,file,augmentation
-476.03537,161.65208,55.91197,115.58867,9.60156,56.72836,19.770826,64.699844,2.4941487,24.149971,-4.087774,24.337255,-10.3725,18.886982,3.4745798,24.12465,0.4156969,16.893793,-8.228092,17.671743,-3.2032268,12.309083,-2.7993069,6.9699607,-4.257962,9.128343,0.30940875,0.10670103,3692.925347222222,2760.8057608403087,2348.1043564792067,0.04400945,0.054816756,0.2919447157118056,0.25608603599394125,-0.0023433519411864574,david,david_yes_approve.wav,original
-485.76062,166.30486,57.222134,107.63596,10.880554,48.299774,17.222578,68.2534,-2.07629,30.955355,-8.75029,24.345793,-7.777708,22.42731,3.7693846,15.5089445,-6.169861,25.12075,-7.1491523,20.637695,-2.3054924,11.778444,-4.061132,10.132324,-3.9496412,10.607552,0.2920118,0.1045201,4001.953125,3203.785339243548,2651.118522694063,0.031198945,0.037073117,0.3829413519965278,0.31052241298269434,-0.0006541140471078232,david,aug_pitch_shift_david_yes_approve.wav,pitch_shift
-498.05295,152.56116,53.45675,111.28001,11.900303,52.959564,20.378979,66.68499,3.5749907,22.829697,-4.3700356,27.502766,-10.480768,18.75729,0.6733411,25.073553,-0.76074356,17.556341,-5.980183,19.608969,-4.4925413,13.949961,-2.8728669,7.7684317,-4.138946,9.615676,0.27676612,0.09769869,3628.0381944444443,2795.1640118393716,2377.6291804789357,0.029773513,0.03921042,0.30852322048611114,0.2630142217238069,0.005231126184183049,david,aug_time_stretch_david_yes_approve.wav,time_stretch
-450.05276,174.00473,58.32952,105.07147,-4.511612,60.254738,19.010527,52.11519,12.81148,39.15199,-3.3151014,30.133915,-8.20604,29.376108,1.5297577,19.287306,-0.58284456,17.091185,0.7409718,23.737661,-1.8498982,20.046446,-1.0014143,18.76024,-8.260186,15.791936,0.32996067,0.100712605,3796.7155612244896,2266.6427478358146,1568.206120997052,0.033073798,0.037422106,0.22950215242346939,0.15166430032451825,0.004435873264660727,david,david_confirm_transaction.wav,original
-468.08246,176.57399,58.646534,94.01735,1.409614,56.038334,16.755882,57.337788,4.9888606,39.538006,-11.267378,27.738333,-5.210217,35.62384,3.5058722,15.336316,-2.447426,27.354935,-2.6563926,19.98778,-2.7034311,20.350048,-4.3152533,17.91239,-3.6163418,19.170006,0.33663347,0.10356453,3697.5446428571427,2329.9200320456985,1881.5574560096013,0.02294697,0.026997661,0.23784279336734693,0.2019819317150772,-0.01379312108100902,david,aug_pitch_shift_david_confirm_transaction.wav,pitch_shift
-478.7117,157.9921,55.602936,97.964645,1.0401964,51.758453,13.630609,52.70977,9.993481,43.067432,-5.097195,29.88443,-10.836533,31.606491,0.19398211,23.009125,-1.7256614,20.50376,-0.055176124,25.46978,-2.2278523,18.842464,-2.2947264,19.91101,-6.093515,14.463643,0.28472427,0.102072276,3649.84631147541,2565.6451913342216,1995.2910344687593,0.021655805,0.026245143,0.2849401255122951,0.23523035816830565,0.004519616252227064,david,aug_time_stretch_david_confirm_transaction.wav,time_stretch
-703.5646,47.339466,24.939999,50.233738,11.5070305,25.844217,2.7182257,16.58492,0.059498675,12.768329,-0.9178714,11.829549,-1.9555969,14.509261,-2.381578,10.3021555,-3.8054526,12.016254,-5.610573,18.177004,-5.4335046,16.400219,-3.2114892,9.928737,-1.7523675,6.744553,0.25996077,0.10817809,3562.623031496063,2730.8190655314797,2338.2612673902545,0.0030664664,0.008168055,0.13556917445866143,0.19437438613535304,0.009253885963490964,dean,dean_yes_approve.wav,original
-737.15454,50.986847,28.099312,52.432518,11.175785,23.985348,0.73363525,15.950418,-1.8528565,13.134827,-2.8107412,15.761595,-3.841338,15.11048,-4.7949486,13.228798,-6.5130734,20.82768,-6.5578146,19.597488,-3.7450216,10.615545,-1.5122494,6.743973,-1.9297233,7.3937435,0.24868903,0.10697949,3514.9483267716537,2702.355454623083,2600.8864736479127,0.001976223,0.0048521576,0.17772668553149606,0.23014209066051647,-0.0044778670081702925,dean,aug_pitch_shift_dean_yes_approve.wav,pitch_shift
-729.5346,44.518257,24.647007,47.976795,11.940325,25.414852,2.960926,16.30903,-0.2651846,13.023745,-1.4534833,13.063639,-2.4412603,15.201827,-2.8887882,10.498151,-4.330149,12.643542,-5.9577546,19.056984,-5.6997495,17.316505,-3.4503798,10.547878,-1.7725272,6.67307,0.22889912,0.101043716,3427.5118670886077,2573.8480966861707,2374.235354592579,0.0021161803,0.0056642774,0.1589015526107595,0.21969342669924957,0.008155440930514535,dean,aug_time_stretch_dean_yes_approve.wav,time_stretch
-701.4982,143.69106,48.21254,84.19097,11.953783,31.759052,9.285517,36.66789,19.35515,26.409626,5.297802,18.748886,-5.6056414,21.733015,-7.410934,18.53195,2.2467954,13.111951,2.2150154,12.7260475,-7.57067,14.989924,-6.1850643,10.145738,-4.6664968,11.870724,0.28168142,0.11269905,2905.616554054054,2006.4698866764154,1794.99918580496,0.0031879363,0.004518696,0.11153927364864864,0.15691911030373132,-0.007845087352826779,dean,dean_confirm_transaction.wav,original
